sub	sess	t	loc	cue	co1	co2	or	resp	rt
1	1	319	2	3	0.1000	0.1000	0	1	0.450
1	1	320	2	3	0.1000	0.1000	1	1	0.562
1	1	321	1	3	0.1000	0.1000	1	1	0.704
1	1	322	1	1	0.1000	0.1000	1	1	0.639
1	1	323	2	2	0.1000	0.1000	1	0	0.569
1	1	324	2	1	0.1000	0.1000	0	1	0.641
1	1	325	1	2	0.1000	0.1000	0	0	0.546
1	1	326	2	1	0.1000	0.1000	1	1	0.530
1	1	327	2	2	0.1000	0.1000	0	1	0.641
1	1	328	2	2	0.1000	0.1000	1	1	0.547
1	1	329	1	2	0.1000	0.1000	1	1	0.918
1	1	330	2	1	0.1000	0.1000	0	1	0.836
1	1	331	2	1	0.1000	0.1000	0	0	0.914
1	1	332	2	1	0.1000	0.1000	1	1	0.630
1	1	333	1	3	0.1000	0.1000	1	1	0.681
1	1	334	1	2	0.1000	0.1000	1	1	0.529
1	1	335	2	1	0.1000	0.1000	1	1	0.782
1	1	336	2	1	0.1000	0.1000	0	1	0.833
